,title,jobtype,description,location,salary,job site
952,Data Analyst ,,Excellent technical skills to turn big data in Hadoop into impactful insights.To be successful in this role:5+ years of experience in analytics/data…,"San Francisco, CA",,Indeed
953,Data Scientist,,"7+ years of data science experience or equivalent.You will assemble a team to leverage a unique set of skills, including, data engineering, analytics, data…","San Francisco, CA",,Indeed
954,Data Analyst ,,"Applicants must have (1) year of specialized experience equivalent to the GS-12 level using data analysis tools (sql, python, R, etc) to build and execute data…","Washington, DC","$131,488.00 ",Indeed
955,Data Analyst ,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH",,Indeed
956, Data Scientist,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote",,Indeed
957,Data Analyst ,,Experience with data lakes and data warehousing.Manage data requests in JIRA and summarizes data findings and processes in JIRA and Confluence for internal…,"San Francisco, CA 94105 (South Beach area)",,Indeed
958,Data Scientist,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Los Angeles, CA 90064•Remote",,Indeed
959,Data Scientist,,"Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.",United States,,Indeed
960,Data Scientist,Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",Remote+1 location•Remote,,Indeed
961,Data Scientist,Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",United States+1 location•Remote,,Indeed
962,Data Analyst ,,Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,"Columbus, OH",,Indeed
963,Data Scientist,,Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,"San Jose, CA+1 location",,Indeed
964,Data Scientist,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104+1 location (Financial District area)•Remote",,Indeed
965,Statistician,,"The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.","Las Vegas, NV",,Indeed
966,Data Engineer,,"Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.","Tysons, VA",,Indeed
967,Data Scientist,,"You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…","Pleasanton, CA",,Indeed
968,Data Analyst ,,"Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…","Washington, DC 20006 (Foggy Bottom area)",,Indeed
969,Machine learning Engineer,,"Are analytical and data driven.You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and…","San Francisco, CA",,Indeed
970,Registered Nurse,,"The LPN provides patient centered nursing care.Obtains vital signs, gathers pertinent health information while following decision trees and protocols.","Lovington, NM 88260",,Indeed
971,Registered Nurse,,"To that end, Graduate Nurses and Registered Nurses with less than two (2) years of RN work experience will need to possess a BSN, or as a contingency of…","Wauwatosa, WI 53213",,Indeed
972,Respiratory Therapist ,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)",,Indeed
973,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
974,Machine learning Engineer,,"Experience with non-traditional data storage technologies (e.g., Cassandra, ElasticSearch, Solr, MongoDB, Graph stores, MinIO for block storage).","Richardson, TX",,Indeed
975,Respiratory Therapist ,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)",,Indeed
976,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
977,Machine learning Engineer,,"Deploy and maintain data science and data engineering development environments.Preferred language familiarity: Python, Go, Ruby, Rust, Scala Database skills –…","Austin, TX 78758 (North Austin area)",,Indeed
978,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
979,Registered Nurse,,"For example: conducts chart audits, collects data, implements performance improvement interventions, and/or offers suggestions for performance improvement.","Milwaukee, WI 53215 (Forest Home Hills area)",,Indeed
980,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)",,Indeed
981,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
982,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)",,Indeed
983,Data Science professor,Remote,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",Remote•Remote,"$87,750.00 ",Indeed
984,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
985,Machine learning Engineer,Remote,"Fusemachines is a leading AI strategy, talent, and education services provider.Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia…",Remote•Remote,,Indeed
986,Data Science professor,Remote,"Evaluation of big data sets.Master’s degree in bioinformatics, biostatistics, data science, or other informatics-related field.Each term is eight weeks.","Philadelphia, PA 19104 (Spruce Hill area)•Remote",,Indeed
987,Statistician,,"This position involves a wide range of tasks including data management, programming and statistical analysis using both existing data and newly-collected data.","Ann Arbor, MI 48109",,Indeed
988,Data Science professor,Remote,Online teaching positions are now available in Data Analytics and Data Science Certificate Programs.We are seeking qualified applicants possessing current…,"Irvine, CA•Remote",,Indeed
989,Data Analyst ,,You will be involved with researching administrative and auxiliary data sources to enhance the transportation data.U.S. Department of Transportation (DOT).,"Washington, DC",,Indeed
990,Data Scientist,,"SimSan Global Solutions, Inc. has job openings for the position of Computer and Information Research Scientist with a Master’s Degree in Data Science and at…","Irving, TX 75063 (Valley Ranch area)",,Indeed
991, Data Engineer,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA",,Indeed
992,Data Scientist,,"The goal is to apply the most effective computational methods, including structural modeling, machine learning, and data science techniques to advance our…","Thousand Oaks, CA",,Indeed
993,Data Scientist,,"Mentor complex projects using wide breadth of data sciences and advanced techniques.Lead large scale projects that utilize online & offline data, structured &…","Philadelphia, PA+1 location",,Indeed
994,Data Scientist,,"5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements,…","Woonsocket, RI",,Indeed
995,Data Scientist,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations",,Indeed
996,Machine learning Engineer,,"Experience building large scale data processing pipelines.Investigate innovative machine learning, artificial intelligence and statistic techniques for health…","Gaithersburg, MD 20878",,Indeed
997, Data Engineer,,"4+ years' experience as a software engineering using Python, C+ and have data engineering experience in Python.Very good understand of GCP Architecture.","Arlington Heights, IL+1 location",,Indeed
998,Data  Engineer,,Coordinate with the DoD and National Agencies introducing new technologies and data dissemination and archival concepts relevant to the AISR mission.,"Pentagon, DC",,Indeed
999,Data Scientist,,3 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)",,Indeed
1000,Data Scientist,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014",,Indeed
1001,Data Analyst ,,"1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…","Kirkwood, MO 63122+11 locations",,Indeed
1002,Statistician,,"As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…","Las Vegas, NV 89119 (Paradise area)",,Indeed
1003,Machine learning Engineer,,"Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).","Bellevue, WA",,Indeed
1004,Data Scientist,,"Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…","Gaithersburg, MD 20877",,Indeed
1005,Data Scientist,Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",Remote+1 location•Remote,,Indeed
1006,Data Scientist,Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",United States+1 location•Remote,,Indeed
1007,Data Analyst ,,Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,"Columbus, OH",,Indeed
1008,Data Scientist,,Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,"San Jose, CA+1 location",,Indeed
1009,Data Scientist,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104+1 location (Financial District area)•Remote",,Indeed
1010,Statistician,,"The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.","Las Vegas, NV",,Indeed
1011,Data Engineer,,"Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.","Tysons, VA",,Indeed
1012,Data Scientist,,"You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…","Pleasanton, CA",,Indeed
1013,Data Analyst ,,"Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…","Washington, DC 20006 (Foggy Bottom area)",,Indeed
1014,Machine learning Engineer,,"Are analytical and data driven.You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and…","San Francisco, CA",,Indeed
1015,Data Scientist,,The CPE Software Release Management Engineer function is essential to the successful development and deployment of new features and fixes as the function…,"Philadelphia, PA",,Indeed
1016,Respiratory Therapist ,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Township of Liberty, OH 45044",,Indeed
1017,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1018,Registered Nurse,,"The RN provides patient care under the supervision of a physician.Obtains vital signs, gathers pertinent health information while following decision trees and…","Lovington, NM 88260",,Indeed
1019,Postdoctoral Researcher,,"For the analysis of serial CT images and genomics data, design a ML pipeline that includes.Feature extraction from imaging, genomics and clinical data (both…","Silver Spring, MD",,Indeed
1020,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1021,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.PURPOSE OF POSITION: To function as a professional nurse and to apply theoretical…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1022,Data Engineer ,,"Builds, tests and enhances data curation pipelines integration data from wide variety of sources like DBMS, File systems, APIs and streaming systems for various…","Charlotte, NC 28202 (Downtown Charlotte area)",,Indeed
1023,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1024,Data Science professor,,"Candidates may be tasked with teaching and/or developing courses related to some of the following topics: applying modern data science tools, business analytics…","Denver, CO 80217 (Central Business District area)",,Indeed
1025,Statistician,,The Department of Mathematical & Digital Sciences at Bloomsburg University of Pennsylvania seeks individuals to serve as either full-time or part-time temporary…,"Bloomsburg, PA 17815",,Indeed
1026, Data Scientist,,Builds data visualization to support business needs.Assists with multiple projects to develop business and data analysis to drive business objectives.,"Columbus, OH 43215 (Downtown area)",,Indeed
1027,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)",,Indeed
1028,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1029,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1030,Machine learning Engineer,,"Demonstrated expertise in machine learning research.Publication record in relevant conferences (e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP,…","Santa Clara Valley, CA 95014",,Indeed
1031,Data Scientist,,Presents data insights and recommendations to key stakeholders.Explore new data sources and analytical techniques to ensure ongoing competitive advantage.,"Cincinnati, OH 45263 (Central Business District area)",,Indeed
1032,Data Scientist,,"Familiarity with scaling and operationalizing data science models in production settings.Perform data wrangling, ETL, and data exploration tasks.","Mahwah, NJ 07430",,Indeed
1033,Data Scientist,,"As part of the stakeholder-facing arm of the team, you will own relationships with decision makers to help improve the end-customer experience by making the…","Seattle, WA",,Indeed
1034,Postdoctoral Researcher,,"PhD in a physical science, computer science, or engineering or related field completed within the last 3 years, or soon to be completed.","Lemont, IL 60439",,Indeed
1035,Data Scientist,,5+ year of industry experience in quantitative analytics and applied data science.The team will rely on your expertise in data science to build this visionary…,"Thousand Oaks, CA",,Indeed
1036,Data Scientist,,"Contribute to ongoing expansion of data science expertise and credentials by keeping up with industry best practices, developing new skills, and knowledge…","Minneapolis, MN",,Indeed
1037,Data Analyst ,,"Manage year-over-year Trade trackers and maintain historical Trade files, IFR data updates, process mapping and the team site.","East Hanover, NJ 07936",,Indeed
1038,Data Scientist,,"Ability to analyze and leverage data and metrics driven focus, both qualitative and quantitative.Bachelor’s degree in Information Science / Information…","Seattle, WA",,Indeed
1039,Data Scientist,,"Experience with data science, containers and cloud environments.As a member of the Fuchs Lab and the Hasso Plattner Institute for Digital Health, the Senior…","New York, NY 10029 (East Harlem area)",,Indeed
1040,Data Scientist,,"A Ph.D. degree in industrial engineering, systems engineering, data science, or a closely related field is required.","San Luis Obispo, CA",,Indeed
1041,Data Scientist,,"Experience with common data tools: Spark, SQL, Kafka, Flink.MS/MSc or PhD in computer science, electrical engineering, statistics or similarly quantitative…","Seattle, WA 98127",,Indeed
1042,Data Scientist,,"This person’s primary focus will be to develop, refine, deploy, and productionize impactful data science projects to business users.","Rosemont, IL 60018",,Indeed
1043,Data Scientist,,Demonstrated ability to lead and manage data science and analytics engineering teams.Minimum of 7 years of relevant industry work experience providing data…,"Parsippany, NJ 07054",,Indeed
1044,Machine learning Engineer,,"Work hand-in-hand both with the internal data science teams, as well as partner risk science teams to integrate and build decision science models on the CK…","Charlotte, NC 28277 (Ballantyne East area)",,Indeed
1045,Data Scientist,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014",,Indeed
1046,Data Analyst ,,"1+ year(s) of experience manipulating data sets, visualizing data, building statistical models, and the general application of data science concepts and tools…","Kirkwood, MO 63122+11 locations",,Indeed
1047,Statistician,,"As a mathematician, you will be responsible for creating mathematical models for multiple games and researching and analyzing games from a game/math balance…","Las Vegas, NV 89119 (Paradise area)",,Indeed
1048,Machine learning Engineer,,"Experience with applying machine learning techniques to problems in simulation engines and 3D data (sensors, physics engines, object detection, etc.).","Bellevue, WA",,Indeed
1049,Data Scientist,,"Experience in Python software development, data science and machine learning.GeneDx is recruiting for a full-time Data Scientist to contribute to a team…","Gaithersburg, MD 20877",,Indeed
1050,Data Scientist,Remote,"Experience finding, cleaning, and manipulating data to build data sets.3+ years of experience in data analysis, data science, decision science, or similar…",Remote+1 location•Remote,,Indeed
1051,Data Scientist,Remote,"Education Requirements: BA/BS in a technical discipline, or equivalent professional experienceExperience Requirements: 5+ years backend software development…",United States+1 location•Remote,,Indeed
1052,Data Analyst ,,Significant experience working with very large scale (structured and unstructured) data.Generate deep insights through the analysis of data and understanding…,"Columbus, OH",,Indeed
1053,Data Scientist,,Create the vision for data science solutions incorporating the latest techniques.Knowledge of cloud services (GCP /AWS ) and developing data science projects.,"San Jose, CA+1 location",,Indeed
1054,Data Scientist,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104+1 location (Financial District area)•Remote",,Indeed
1055,Statistician,,"The Mathematician job role involves evaluating mathematical models for electronic slot machines, casino table games, internet casino games and lotteries.","Las Vegas, NV",,Indeed
1056,Data Engineer,,"Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics.0–4 years of experience in the field.","Tysons, VA",,Indeed
1057,Data Scientist,,"You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…","Pleasanton, CA",,Indeed
1058,Data Analyst ,,"Experience with data analytics software including Python or R.Responsibilities includes analyzing large and complex data sets, including a thorough aptitude…","Washington, DC 20006 (Foggy Bottom area)",,Indeed
1059,Machine learning Engineer,,"Are analytical and data driven.You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and…","San Francisco, CA",,Indeed
1060,Data Scientist,Remote,Strong familiarity with unstructured data.3 or more years of experience developing and deploying text and data mining solutions.,Remote•Remote,,Indeed
1061,Machine learning Engineer,Temporarily Remote,"Good knowledge in one of the following areas: machine learning, deep learning, backend, large-scale systems, data science, full-stack.","Mountain View, CA•Temporarily Remote",,Indeed
1062,Data Scientist,,"Masters or Doctoral degree in ecology, environmental science, data science, computer science, or a related field.Experience in data management and/or analysis.","Santa Barbara, CA 93106",,Indeed
1063,Machine learning Engineer,Remote,"With the power to apply artificial intelligence and data science to business decisions via enterprise data management solutions, we help leading companies…","Las Vegas, NV 89044 (Westgate area)•Remote",,Indeed
1064,Data Analyst ,,"Responsible to create stored procedures and scripts, reconcile data, ensure data integrity, define data joining procedures, and performing statistical trend…","Washington, DC 20006 (Foggy Bottom area)",,Indeed
1065,Data Analyst ,,"Pulling data, joining, and manipulating large datasets to support customer data warehouse, self-service data platform/tools and adhoc analyses.","New York, NY 10281 (Battery Park area)",,Indeed
1066,Machine learning Engineer,Remote,"Python expertise (data structures, coding patterns) along with common data, math and visualization libraries.Experience coding with popular frameworks.",United States+2 locations•Remote,,Indeed
1067,Data Scientist,,Experience in software development and data science.You will analyze data collected from simulation and hardware to recommend design improvements.,"Santa Clara, CA",,Indeed
1068,Data Analyst ,Remote,"This role is responsible for programming the collections treatment decision logic in the Katabat Digital Platform, as well as having responsibility for…",Alabama+1 location•Remote,,Indeed
1069,Data Engineer,,"Experience with large-scale data warehousing architecture and data modeling.As a member of the Data Product Engineering team, you will work closely with…","San Francisco, CA 94103 (South of Market area)",,Indeed
1070,Data Scientist,,"Training and development opportunities at cutting edge data-science conferences across the country.Their ability to understand, navigate, and manipulate a…","Glen Allen, VA 23060",,Indeed
1071,Data Scientist,,At least three years of applicable data science experience.Ability to skillfully apply data science principles and theory.,"Redwood City, CA",,Indeed
1072,Data Scientist,Remote,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.Solve complex business and customer issues utilizing…,"Houston, TX•Remote",,Indeed
1073,Data Science professor,,"Knowledge of applied statistical analysis, modeling techniques, and data visualization methods.Title: Data Science & Analytics Development Program 2021b -…","Moline, IL 61265",,Indeed
1074,Data Scientist,,"Experience with data gathering, data quality, system architecture, coding best practices.Experience with perception (e.g. computer vision), time series data (e…","Richardson, TX 75082",,Indeed
1075,Registered Nurse,,"The LPN provides patient centered nursing care.Obtains vital signs, gathers pertinent health information while following decision trees and protocols.","Lovington, NM 88260",,Indeed
1076,Registered Nurse,,"To that end, Graduate Nurses and Registered Nurses with less than two (2) years of RN work experience will need to possess a BSN, or as a contingency of…","Wauwatosa, WI 53213",,Indeed
1077,Respiratory Therapist ,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1078,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1079,Machine learning Engineer,,"Experience with non-traditional data storage technologies (e.g., Cassandra, ElasticSearch, Solr, MongoDB, Graph stores, MinIO for block storage).","Richardson, TX",,Indeed
1080,Respiratory Therapist ,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1081,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1082,Machine learning Engineer,,"Deploy and maintain data science and data engineering development environments.Preferred language familiarity: Python, Go, Ruby, Rust, Scala Database skills –…","Austin, TX 78758 (North Austin area)",,Indeed
1083,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1084,Registered Nurse,,"For example: conducts chart audits, collects data, implements performance improvement interventions, and/or offers suggestions for performance improvement.","Milwaukee, WI 53215 (Forest Home Hills area)",,Indeed
1085,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)",,Indeed
1086,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1087,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)",,Indeed
1088,Data Science professor,Remote,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",Remote•Remote,"$87,750.00 ",Indeed
1089,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
1090,Consultant,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…","San Francisco, CA+1 location",,Indeed
1091,Data Scientist,,"Ability to manipulate data in a fast-paced environment to gather quick insights, visualize the data and generate interactive reports and dashboards for the team…","Kohler, WI 53044",,Indeed
1092,Postdoctoral Researcher,,PhD in mathematics or computer science (with preference for mathematics).This project involves both mathematical analysis of optimization in deep learning and…,"New York, NY 10012 (Greenwich Village area)",,Indeed
1093,Data Scientist,,"Experience with distributed data analysis and large-scale data visualization (PySpark/dask, EMR).Develop an efficient infrastructure for large scale analysis…","Pasadena, CA+1 location",,Indeed
1094,Data Scientist,,"Coordinate and synthesize microbiome data.Previous experience in integrating and analyzing large scale data (omics, biogeochemical data, etc.).","State University, AR","$55,000.00 ",Indeed
1095,Data Scientist,,"Experience with big data and big data platforms.Researching and exploring data sources, working with data and systems experts to understand the data and what…","Maplewood, MN",,Indeed
1096,Data Analyst ,,"Drive the collection of new data and the refinement of existing data resources.Identify trends, performance, safety, and productivity opportunities by applying…","Homewood, IL",,Indeed
1097,Data Analyst ,,Excellent technical skills to turn big data in Hadoop into impactful insights.To be successful in this role:5+ years of experience in analytics/data…,"San Francisco, CA",,Indeed
1098,Data Scientist,,"7+ years of data science experience or equivalent.You will assemble a team to leverage a unique set of skills, including, data engineering, analytics, data…","San Francisco, CA",,Indeed
1099,Data Analyst ,,"Applicants must have (1) year of specialized experience equivalent to the GS-12 level using data analysis tools (sql, python, R, etc) to build and execute data…","Washington, DC","$131,488.00 ",Indeed
1100,Data Analyst ,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH",,Indeed
1101, Data Scientist,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote",,Indeed
1102,Data Analyst ,,Experience with data lakes and data warehousing.Manage data requests in JIRA and summarizes data findings and processes in JIRA and Confluence for internal…,"San Francisco, CA 94105 (South Beach area)",,Indeed
1103,Data Scientist,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Los Angeles, CA 90064•Remote",,Indeed
1104,Data Scientist,,"Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.",United States,,Indeed
1105,Consultant,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…","San Francisco, CA+1 location",,Indeed
1106,Data Scientist,,"Ability to manipulate data in a fast-paced environment to gather quick insights, visualize the data and generate interactive reports and dashboards for the team…","Kohler, WI 53044",,Indeed
1107,Postdoctoral Researcher,,PhD in mathematics or computer science (with preference for mathematics).This project involves both mathematical analysis of optimization in deep learning and…,"New York, NY 10012 (Greenwich Village area)",,Indeed
1108,Data Scientist,,"Experience with distributed data analysis and large-scale data visualization (PySpark/dask, EMR).Develop an efficient infrastructure for large scale analysis…","Pasadena, CA+1 location",,Indeed
1109,Data Scientist,,"Coordinate and synthesize microbiome data.Previous experience in integrating and analyzing large scale data (omics, biogeochemical data, etc.).","State University, AR","$55,000.00 ",Indeed
1110,Data Scientist,,"Experience with big data and big data platforms.Researching and exploring data sources, working with data and systems experts to understand the data and what…","Maplewood, MN",,Indeed
1111,Data Analyst ,,"Drive the collection of new data and the refinement of existing data resources.Identify trends, performance, safety, and productivity opportunities by applying…","Homewood, IL",,Indeed
1112,Data Analyst ,,Excellent technical skills to turn big data in Hadoop into impactful insights.To be successful in this role:5+ years of experience in analytics/data…,"San Francisco, CA",,Indeed
1113,Data Scientist,,"7+ years of data science experience or equivalent.You will assemble a team to leverage a unique set of skills, including, data engineering, analytics, data…","San Francisco, CA",,Indeed
1114,Data Analyst ,,"Applicants must have (1) year of specialized experience equivalent to the GS-12 level using data analysis tools (sql, python, R, etc) to build and execute data…","Washington, DC","$131,488.00 ",Indeed
1115,Data Analyst ,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH",,Indeed
1116, Data Scientist,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote",,Indeed
1117,Data Analyst ,,Experience with data lakes and data warehousing.Manage data requests in JIRA and summarizes data findings and processes in JIRA and Confluence for internal…,"San Francisco, CA 94105 (South Beach area)",,Indeed
1118,Data Scientist,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Los Angeles, CA 90064•Remote",,Indeed
1119,Data Scientist,,"Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.",United States,,Indeed
1120,Registered Nurse,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)",,Indeed
